City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
44,Airai,TL,2022-12-08 01:31:23,-8.9266,125.4092,297.83,39,99,1.1
45,Atar,MR,2022-12-08 01:31:24,20.5169,-13.0499,297.68,36,99,1.22
46,Reus,ES,2022-12-08 01:31:24,41.1561,1.1069,283.62,83,0,1.54
47,Busselton,AU,2022-12-08 01:31:24,-33.65,115.3333,295.29,56,0,4.17
48,Northam,GB,2022-12-08 01:31:25,51.0333,-4.2167,273.85,76,9,1.59
49,Nhulunbuy,AU,2022-12-08 01:31:26,-12.2333,136.7667,305.49,55,20,3.09
50,Waterloo,CA,2022-12-08 01:26:34,43.4668,-80.5164,278.45,96,100,4.63
51,Neuquen,AR,2022-12-08 01:31:26,-38.9516,-68.0591,299.09,25,0,7.2
52,Kapaa,US,2022-12-08 01:31:27,22.0752,-159.319,301.14,80,100,8.23
53,Taunggyi,MM,2022-12-08 01:31:27,20.7833,97.0333,290.44,67,12,0.22
54,Ballina,AU,2022-12-08 01:27:29,-28.8667,153.5667,300.87,58,0,2.64
55,Abnub,EG,2022-12-08 01:31:28,27.2696,31.1511,285.27,61,0,1.41
56,Ilulissat,GL,2022-12-08 01:31:28,69.2167,-51.1,275.16,60,100,6.69
57,Nedjo,ET,2022-12-08 01:31:29,9.5046,35.5019,287.85,65,100,1.33
58,Togul,RU,2022-12-08 01:31:29,53.465,85.9128,245.79,100,49,1.01
59,Butaritari,KI,2022-12-08 01:31:29,3.0707,172.7902,300.14,79,96,5.84
60,Kamiiso,JP,2022-12-08 01:31:30,41.8167,140.65,274.36,69,40,4.63
61,Abilene,US,2022-12-08 01:31:30,32.4487,-99.7331,293.02,73,20,2.57
62,Korla,CN,2022-12-08 01:31:31,41.7597,86.1469,268.03,50,98,1.31
63,Prince Rupert,CA,2022-12-08 01:30:55,54.3161,-130.3201,280.98,77,100,16.98
64,Bengkulu,ID,2022-12-08 01:31:31,-3.8004,102.2655,300.07,75,88,1.43
65,Severo-Kurilsk,RU,2022-12-08 01:31:31,50.6789,156.125,271.17,65,78,9.06
66,Barrow,US,2022-12-08 01:31:32,71.2906,-156.7887,264.16,79,100,7.72
67,Bara,NG,2022-12-08 01:31:32,10.3744,10.7288,292.11,26,19,3.59
68,East London,ZA,2022-12-08 01:31:33,-33.0153,27.9116,294.31,82,100,5.05
69,Chokurdakh,RU,2022-12-08 01:31:33,70.6333,147.9167,243.61,98,80,2.86
70,Clyde River,CA,2022-12-08 01:31:33,70.4692,-68.5914,256.28,71,100,3.09
