City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
461,Cabo San Lucas,MX,82.62,Clear,22.8909,-109.9124,Comfort Rooms
467,Ribeira Brava,PT,75.0,Rain,32.65,-17.0667,Cheerfulway Bravamar Hotel
471,George Town,MY,77.9,Clouds,5.4112,100.3354,Page 63 hostel
472,Inongo,CD,75.13,Clouds,-1.95,18.2667,Chez LELE IYOLO
474,Axim,GH,79.74,Clear,4.8699,-2.2405,Axim Beach Hotel
480,Puerto Escondido,MX,85.03,Clear,15.85,-97.0667,Hotel Barlovento
483,Nouakchott,MR,76.93,Clear,18.0858,-15.9785,فندق أدرار
484,Sao Joao Da Barra,BR,84.29,Clear,-21.6403,-41.0511,Pousada Mediterrâneo
486,Moron,AR,88.95,Clear,-34.6534,-58.6198,La Esquina
495,Remedios,CU,81.52,Clouds,22.4947,-79.5458,E. Leyendas
508,Port Hedland,AU,86.05,Clear,-20.3167,118.5667,The Esplanade Hotel
522,Catuday,PH,77.85,Clouds,16.2923,119.8062,Nina Anchors Inn
529,La Romana,DO,84.56,Clouds,18.4273,-68.9728,Hotel Frano
534,Voh,NC,79.07,Clouds,-20.9667,164.7,Le Vook
542,Eyl,SO,75.88,Clouds,7.9803,49.8164,فندق ايل دابي
544,Bubaque,GW,81.52,Clear,11.2833,-15.8333,Chez Julio
545,Tagusao,PH,77.47,Clouds,9.1924,117.8141,"Shaman's Breath- Beach, Bed & Breakfast"
554,Denpasar,ID,78.46,Clouds,-8.65,115.2167,Hotel Candra Adiguna
555,Sambava,MG,75.51,Rain,-14.2667,50.1667,Royal Sava Hôtel
573,Mayumba,GA,77.83,Rain,-3.432,10.6554,Résidence Hôtelière Fabso
577,Tual,ID,83.43,Clouds,-5.6667,132.75,Suita
585,Namatanai,PG,78.55,Clouds,-3.6667,152.4333,Namatanai Hotel
593,Diamantino,BR,82.4,Clouds,-14.4086,-56.4461,Hotel kayaby
601,Saint-Georges,GD,82.08,Clouds,12.0564,-61.7485,Deyna's City Inn
614,Cabinda,AO,78.19,Rain,-5.55,12.2,Hotel Mayombe
623,Muisne,EC,76.5,Clouds,0.6,-80.0333,Hostal Té de Menta
625,Tha Chang,TH,79.21,Clouds,9.2642,99.1922,K2 hotel wrong location. Hotel is 12km south on the main road
637,Mahajanga,MG,78.82,Rain,-15.7167,46.3167,Vahiny Hotel
638,Fomboni,KM,81.72,Clear,-12.28,43.7425,Mohéli La Plage
639,Rawson,AR,75.11,Clouds,-43.3002,-65.1023,Hotel Deportivo
641,Ilhabela,BR,77.14,Clouds,-23.7781,-45.3581,Vila Kebaya
648,Ribas Do Rio Pardo,BR,78.51,Clouds,-20.4431,-53.7592,Hotel São Francisco
650,Kudat,MY,76.93,Clouds,6.8837,116.8477,Hotel Ria
653,Maturin,VE,89.44,Clouds,9.75,-63.1767,Hotel Royal
678,Inhambane,MZ,76.42,Clear,-23.865,35.3833,Hotel de Inhambane
681,Port-Gentil,GA,78.76,Rain,-0.7193,8.7815,Tara-Mé
682,Torit,SS,77.63,Rain,4.4133,32.5678,Safari Link
683,Alice Springs,AU,88.21,Clouds,-23.7,133.8833,Aurora Alice Springs
699,Pitimbu,BR,84.79,Clouds,-7.4706,-34.8086,Pousada Brisa Mar
701,Praia,CV,75.74,Clouds,14.9215,-23.5087,Casa Sodadi
704,Venado Tuerto,AR,89.76,Clouds,-33.7456,-61.9688,Hotel Salta
