City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Tura,IN,25.5198,90.2201,58.73,83,2,3.2,Clear
278,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,80.26,52,100,7.27,Clouds
279,The Pas,CA,53.8251,-101.2541,17.46,92,69,2.13,Clouds
280,Kununurra,AU,-15.7667,128.7333,76.98,83,83,5.75,Clouds
281,Caravelas,BR,-17.7125,-39.2481,78.57,82,90,11.45,Clouds
282,Teya,RU,60.3778,92.6267,-27.31,100,97,2.66,Clouds
283,Hinesville,US,31.8469,-81.5959,57.38,89,100,5.75,Clouds
284,Iskateley,RU,67.6803,53.1512,-0.56,99,100,4.34,Clouds
285,Natitingou,BJ,10.3042,1.3796,75.58,16,8,6.29,Clear
286,Dingle,PH,10.9995,122.6711,73.89,93,100,1.59,Clouds
287,Karabulak,RU,43.3036,44.8964,25.79,85,0,1.39,Clear
288,Berbera,SO,10.4396,45.0143,75.88,68,5,6.04,Clear
289,Vao,NC,-22.6667,167.4833,77.94,79,100,9.51,Rain
290,Liwale,TZ,-9.7667,37.9333,70.09,86,92,2.57,Rain
291,Victoria,HK,22.2855,114.1577,62.33,69,4,1.99,Clear
292,Leh,IN,34.1667,77.5833,18.37,78,40,3.83,Clouds
293,Luderitz,NA,-26.6481,15.1594,63.52,94,0,9.82,Clear
294,Cajnice,BA,43.5575,19.0711,49.82,99,100,1.68,Rain
295,Sol-Iletsk,RU,51.1631,54.9918,9.23,91,14,8.16,Clouds
296,Wukari,NG,7.85,9.7833,79.86,20,0,5.35,Clear
297,Kasempa,ZM,-13.4584,25.8338,63.32,94,89,3.6,Rain
298,Sisimiut,GL,66.9395,-53.6735,23.9,75,24,8.19,Clouds
299,Kalabo,ZM,-14.97,22.6814,70.7,73,99,3.18,Clouds
300,Port Lincoln,AU,-34.7333,135.8667,60.3,82,100,14.79,Clouds
301,Chara,RU,56.9064,118.2631,-7.35,76,100,2.04,Clouds
302,Sosnovka,RU,56.255,51.2842,21.18,94,100,12.33,Snow
303,Nova Odesa,UA,47.3078,31.7851,51.75,96,100,14.18,Clouds
304,Lima,PE,-12.0432,-77.0282,71.24,70,100,8.59,Clouds
305,Cayenne,GF,4.9333,-52.3333,84.24,65,40,11.5,Clouds
306,Hamilton,US,39.1834,-84.5333,48.24,84,100,5.75,Haze
307,Coria,ES,39.9879,-6.5377,50.45,81,100,4.65,Clouds
308,Kotido,UG,2.9806,34.1331,76.6,46,100,4.94,Clouds
309,Marrakesh,MA,31.6315,-8.0083,62.67,72,100,4.61,Clouds
310,Charters Towers,AU,-20.1,146.2667,76.05,74,88,13.69,Clouds
311,Patea,NZ,-39.7583,174.4833,63.37,82,30,3.4,Clouds
312,Kavieng,PG,-2.5744,150.7967,81.28,77,100,8.52,Clouds
313,La Paz,BO,-16.5,-68.15,60.44,48,100,11.1,Clouds
314,Evensk,RU,61.95,159.2333,-10.75,82,51,7.49,Clouds
315,Jiuquan,CN,39.7432,98.5174,18.5,69,100,2.62,Clouds
316,Honiara,SB,-9.4333,159.95,78.69,85,100,0.92,Rain
317,Mufulira,ZM,-12.5498,28.2407,63.61,84,99,4.21,Clouds
318,Bentiu,SS,9.2333,29.8333,76.89,28,8,5.12,Clear
319,Yining,CN,29.0361,114.5636,46.38,81,67,4.38,Clouds
320,Lata,PT,40.1629,-8.3327,55.81,80,100,2.59,Clouds
321,Jambi,ID,-1.6,103.6167,72.68,99,100,2.91,Clouds
322,Tutoia,BR,-2.7619,-42.2744,81.7,77,36,14.45,Clouds
323,Impfondo,CG,1.6381,18.0667,75.47,72,15,0.89,Clouds
324,Wajir,KE,1.7471,40.0573,83.61,51,51,10.02,Clouds
325,Mahebourg,MU,-20.4081,57.7,77.25,79,38,11.23,Clouds
326,Peniche,PT,39.3558,-9.3811,55.11,87,100,7.99,Rain
327,Stornoway,GB,58.2093,-6.3865,40.96,78,61,11.5,Clouds
328,Nanortalik,GL,60.1432,-45.2371,22.53,78,4,9.24,Clear
329,Roald,NO,62.5833,6.1333,26.76,58,0,11.5,Clear
330,Ponta Do Sol,PT,32.6667,-17.1,75.0,92,100,12.48,Rain
331,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,82.18,83,99,2.93,Clouds
332,Yulara,AU,-25.2406,130.9889,81.88,39,10,6.24,Clear
333,Broome,US,42.2506,-75.833,44.46,53,0,4.61,Clear
334,Plouzane,FR,48.3833,-4.6167,37.72,90,44,5.75,Rain
335,Salalah,OM,17.0151,54.0924,78.89,44,0,9.22,Clear
336,Betong,TH,5.7743,101.0723,69.67,98,100,2.59,Clouds
337,Codrington,AU,-38.2667,141.9667,59.61,74,96,4.81,Clouds
338,Saint Anthony,US,45.0205,-93.218,35.65,91,100,5.75,Mist
339,Yerbogachen,RU,61.2767,108.0108,-16.26,100,100,3.29,Clouds
340,Olot,ES,42.181,2.4901,46.54,68,100,2.66,Clouds
341,Hearst,CA,49.6835,-83.6665,17.11,76,100,6.62,Clouds
342,Yasnyy,RU,51.0333,59.8742,0.52,79,6,7.65,Clear
343,La Ronge,CA,55.1001,-105.2842,10.87,89,60,3.13,Clouds
344,Iraquara,BR,-12.2486,-41.6194,78.44,72,20,7.05,Clouds
345,Gairo,IT,39.8497,9.5047,48.16,67,20,14.85,Clouds
346,Abu Kamal,SY,34.4506,40.9171,56.21,61,7,4.54,Clear
347,Qasigiannguit,GL,68.8193,-51.1922,25.05,74,100,4.25,Clouds
348,Canavieiras,BR,-15.675,-38.9472,79.09,84,98,6.93,Clouds
349,Camocim,BR,-2.9022,-40.8411,84.38,66,13,19.55,Clouds
350,Samana,DO,19.2056,-69.3369,80.82,78,75,9.22,Clouds
351,Jamui,IN,24.9167,86.2167,59.52,46,64,3.58,Clouds
352,Sao Filipe,CV,14.8961,-24.4956,78.12,70,31,5.26,Clouds
353,Krasnoselkup,RU,65.7,82.4667,-32.62,100,16,3.27,Clouds
354,Mehamn,NO,71.0357,27.8492,24.71,79,57,4.61,Clouds
355,Marzuq,YE,14.4,46.4667,61.88,79,1,4.45,Clear
356,Araouane,ML,18.9048,-3.5265,73.89,11,0,8.46,Clear
357,Nelson Bay,AU,-32.7167,152.15,64.99,84,12,5.01,Clouds
